timestamp,job,model,tokens_in,tokens_out,searches,cost_usd,ok
2026-08-10T08:19:28+00:00,wire,claude-haiku-4-5-20251001,13069,447,2,0.03530,1
2026-08-10T08:19:43+00:00,wire,claude-haiku-4-5-20251001,14891,540,2,0.03759,1
2026-08-10T08:20:02+00:00,wire,claude-haiku-4-5-20251001,14626,821,2,0.03873,1
2026-08-10T18:39:25+00:00,wire,claude-haiku-4-5-20251001,14883,1102,2,0.04039,1
2026-08-11T08:00:58+00:00,wire,claude-haiku-4-5-20251001,13900,764,2,0.03772,1
2026-08-12T18:44:03+00:00,wire,claude-haiku-4-5-20251001,25096,477,2,0.04748,1
2026-08-12T18:44:15+00:00,wire,claude-haiku-4-5-20251001,25326,500,2,0.04783,1
2026-08-12T18:44:32+00:00,wire,claude-haiku-4-5-20251001,15372,849,2,0.03962,1
2026-08-13T08:09:19+00:00,wire,claude-haiku-4-5-20251001,23284,393,2,0.04525,1
2026-08-13T08:09:30+00:00,wire,claude-haiku-4-5-20251001,14419,870,2,0.03877,1
2026-08-13T18:44:22+00:00,wire,claude-haiku-4-5-20251001,14536,599,2,0.03753,1
2026-08-14T08:05:56+00:00,wire,claude-haiku-4-5-20251001,27093,714,2,0.05066,1
2026-08-14T18:37:47+00:00,wire,claude-haiku-4-5-20251001,14685,561,2,0.03749,1
2026-08-14T18:37:59+00:00,wire,claude-haiku-4-5-20251001,14681,807,2,0.03872,1
2026-08-15T07:20:17+00:00,wire,claude-haiku-4-5-20251001,25793,1153,2,0.05156,1
2026-08-15T18:10:43+00:00,wire,claude-haiku-4-5-20251001,15614,800,2,0.03961,1
2026-08-16T07:20:53+00:00,wire,claude-haiku-4-5-20251001,24256,625,2,0.04738,1
2026-08-16T07:21:06+00:00,wire,claude-haiku-4-5-20251001,15799,689,2,0.03924,1
2026-08-16T18:10:43+00:00,wire,claude-haiku-4-5-20251001,28347,1045,2,0.05357,1
2026-08-17T07:41:48+00:00,wire,claude-haiku-4-5-20251001,16480,640,2,0.03968,1
2026-08-17T18:19:33+00:00,wire,claude-haiku-4-5-20251001,24448,505,2,0.04697,1
2026-08-17T18:19:48+00:00,wire,claude-haiku-4-5-20251001,15343,1122,2,0.04095,1
2026-08-18T07:27:37+00:00,wire,claude-haiku-4-5-20251001,15248,689,2,0.03869,1
2026-08-18T18:18:34+00:00,wire,claude-haiku-4-5-20251001,28450,1893,2,0.05791,1
2026-08-19T07:28:37+00:00,wire,claude-haiku-4-5-20251001,16192,790,2,0.04014,1
2026-08-19T18:15:40+00:00,wire,claude-haiku-4-5-20251001,15126,440,2,0.03733,1
2026-08-19T18:15:51+00:00,wire,claude-haiku-4-5-20251001,13734,575,2,0.03661,1
2026-08-20T07:31:08+00:00,wire,claude-haiku-4-5-20251001,14946,703,2,0.03846,1
